Flight_ID,Day,Start_Time,End_Time,Duration_Min,Distance_Km,Payload_Kg,Status
FLIGHT-0001,1,0:03:42,0:08:11,4.48,2.69,1.93,Success
FLIGHT-0002,1,0:11:53,0:15:24,3.52,2.11,0.73,Success
FLIGHT-0003,1,0:19:03,0:22:16,3.22,1.93,1.56,Success
FLIGHT-0004,1,0:29:09,0:32:48,3.65,2.19,0.77,Success
FLIGHT-0005,1,0:35:09,0:38:07,2.97,1.78,0.94,Success
FLIGHT-0006,1,0:43:14,0:48:11,4.95,2.97,0.85,Success
FLIGHT-0007,1,0:51:05,0:53:38,2.55,1.53,1.2,Success
FLIGHT-0008,1,1:01:06,1:05:22,4.27,2.56,0.52,Warning_HighWind
FLIGHT-0009,1,1:11:46,1:14:45,2.98,1.79,0.65,Success
FLIGHT-0010,1,1:21:08,1:25:32,4.4,2.64,0.76,Success
FLIGHT-0011,1,1:27:33,1:31:16,3.72,2.23,0.81,Success
FLIGHT-0012,1,1:36:53,1:39:06,2.22,1.33,1.91,Warning_HighWind
FLIGHT-0013,1,1:46:09,1:47:53,1.73,1.04,0.63,Success
FLIGHT-0014,1,1:54:48,1:59:45,4.95,2.97,1.62,Success
FLIGHT-0015,1,2:05:21,2:09:58,4.62,2.77,1.31,Success
FLIGHT-0016,1,2:13:02,2:16:00,2.97,1.78,1.98,Success
FLIGHT-0017,1,2:19:02,2:22:50,3.8,2.28,0.8,Success
FLIGHT-0018,1,2:29:10,2:31:20,2.17,1.3,1.87,Success
FLIGHT-0019,1,2:33:52,2:36:09,2.28,1.37,1.06,Success
FLIGHT-0020,1,2:41:00,2:44:13,3.22,1.93,0.91,Success
FLIGHT-0021,1,2:48:23,2:49:53,1.5,0.9,1.58,Success
FLIGHT-0022,1,2:56:35,3:00:21,3.77,2.26,1.57,Success
FLIGHT-0023,1,3:05:19,3:07:51,2.53,1.52,1.84,Success
FLIGHT-0024,1,3:13:32,3:17:32,4,2.4,1.41,Success
FLIGHT-0025,1,3:19:44,3:23:53,4.15,2.49,1.4,Success
FLIGHT-0026,1,3:28:42,3:30:56,2.23,1.34,0.94,Success
